dimension,group,quantity,policy,value,case,role,seed
category,EB-3,principal_backlog_2040,Uncapped,557862.0,catchall_60_65,primary,2016
category,EB-3,principal_backlog_2040,Capped minus uncapped,-5564.0,catchall_60_65,primary,2016
category,EB-4,age21_events_2025_2040,Capped,49466.0,catchall_60_65,primary,2016
category,EB-4,age21_events_2025_2040,Uncapped,49458.0,catchall_60_65,primary,2016
category,EB-4,age21_events_2025_2040,Capped minus uncapped,8.0,catchall_60_65,primary,2016
category,EB-4,principal_exits_2025_2040,Capped,518631.0,catchall_60_65,primary,2016
category,EB-4,principal_exits_2025_2040,Uncapped,519604.0,catchall_60_65,primary,2016
category,EB-4,principal_exits_2025_2040,Capped minus uncapped,-973.0,catchall_60_65,primary,2016
category,EB-4,principal_backlog_2040,Capped,1023934.0,catchall_60_65,primary,2016
category,EB-4,principal_backlog_2040,Uncapped,1020811.0,catchall_60_65,primary,2016
category,EB-4,principal_backlog_2040,Capped minus uncapped,3123.0,catchall_60_65,primary,2016
category,EB-5,age21_events_2025_2040,Capped,1074.0,catchall_60_65,primary,2016
category,EB-5,age21_events_2025_2040,Uncapped,566.0,catchall_60_65,primary,2016
category,EB-5,age21_events_2025_2040,Capped minus uncapped,508.0,catchall_60_65,primary,2016
category,EB-5,principal_exits_2025_2040,Capped,3780.0,catchall_60_65,primary,2016
category,EB-5,principal_exits_2025_2040,Uncapped,3377.0,catchall_60_65,primary,2016
category,EB-5,principal_exits_2025_2040,Capped minus uncapped,403.0,catchall_60_65,primary,2016
category,EB-5,principal_backlog_2040,Capped,26702.0,catchall_60_65,primary,2016
category,EB-5,principal_backlog_2040,Uncapped,26615.0,catchall_60_65,primary,2016
category,EB-5,principal_backlog_2040,Capped minus uncapped,87.0,catchall_60_65,primary,2016
joint,EB-1 / India,age21_events_2025_2040,Capped minus uncapped,1456.0,catchall_60_65,primary,2016
joint,EB-1 / China,age21_events_2025_2040,Capped minus uncapped,918.0,catchall_60_65,primary,2016
joint,EB-1 / ROW,age21_events_2025_2040,Capped minus uncapped,-569.0,catchall_60_65,primary,2016
joint,EB-2 / India,age21_events_2025_2040,Capped minus uncapped,75725.0,catchall_60_65,primary,2016
joint,EB-2 / China,age21_events_2025_2040,Capped minus uncapped,397.0,catchall_60_65,primary,2016
joint,EB-2 / ROW,age21_events_2025_2040,Capped minus uncapped,-34863.0,catchall_60_65,primary,2016
joint,EB-3 / India,age21_events_2025_2040,Capped minus uncapped,43429.0,catchall_60_65,primary,2016
joint,EB-3 / China,age21_events_2025_2040,Capped minus uncapped,2148.0,catchall_60_65,primary,2016
joint,EB-3 / ROW,age21_events_2025_2040,Capped minus uncapped,-22444.0,catchall_60_65,primary,2016
joint,EB-4 / India,age21_events_2025_2040,Capped minus uncapped,-810.0,catchall_60_65,primary,2016
joint,EB-4 / China,age21_events_2025_2040,Capped minus uncapped,-110.0,catchall_60_65,primary,2016
joint,EB-4 / ROW,age21_events_2025_2040,Capped minus uncapped,928.0,catchall_60_65,primary,2016
joint,EB-5 / India,age21_events_2025_2040,Capped minus uncapped,167.0,catchall_60_65,primary,2016
joint,EB-5 / China,age21_events_2025_2040,Capped minus uncapped,612.0,catchall_60_65,primary,2016
joint,EB-5 / ROW,age21_events_2025_2040,Capped minus uncapped,-271.0,catchall_60_65,primary,2016
overall,All,age21_events_2025_2040,Capped,266727.0,catchall_60_65,primary,2017
overall,All,age21_events_2025_2040,Uncapped,199504.0,catchall_60_65,primary,2017
overall,All,age21_events_2025_2040,Capped minus uncapped,67223.0,catchall_60_65,primary,2017
overall,All,principal_exits_2025_2040,Capped,1093133.0,catchall_60_65,primary,2017
overall,All,principal_exits_2025_2040,Uncapped,1072039.0,catchall_60_65,primary,2017
overall,All,principal_exits_2025_2040,Capped minus uncapped,21094.0,catchall_60_65,primary,2017
overall,All,principal_conversions_2025_2040,Capped,1262669.0,catchall_60_65,primary,2017
overall,All,principal_conversions_2025_2040,Uncapped,1266269.0,catchall_60_65,primary,2017
overall,All,principal_conversions_2025_2040,Capped minus uncapped,-3600.0,catchall_60_65,primary,2017
overall,All,principal_backlog_2040,Capped,2773365.0,catchall_60_65,primary,2017
overall,All,principal_backlog_2040,Uncapped,2790859.0,catchall_60_65,primary,2017
overall,All,principal_backlog_2040,Capped minus uncapped,-17494.0,catchall_60_65,primary,2017
nationality,India,age21_events_2025_2040,Capped,193766.0,catchall_60_65,primary,2017
nationality,India,age21_events_2025_2040,Uncapped,73624.0,catchall_60_65,primary,2017
