case,year,category,nationality,modeled_visas,n_runs,visas_issued,residual_model_minus_observed
catchall_55_60,2021,EB-3,ROW,35173.0,1,35173,0.0
catchall_55_60,2021,EB-4,China,67.0,1,182,-115.0
catchall_55_60,2021,EB-4,India,972.0,1,569,403.0
catchall_55_60,2021,EB-4,ROW,12842.0,1,15330,-2488.0
catchall_55_60,2021,EB-5,China,972.0,1,1567,-595.0
catchall_55_60,2021,EB-5,India,972.0,1,211,761.0
catchall_55_60,2021,EB-5,ROW,1005.0,1,1171,-166.0
catchall_55_60,2022,EB-1,China,11425.0,1,11425,0.0
catchall_55_60,2022,EB-1,India,20098.0,1,21437,-1339.0
catchall_55_60,2022,EB-1,ROW,22614.0,1,21275,1339.0
catchall_55_60,2022,EB-2,China,8523.0,1,8523,0.0
catchall_55_60,2022,EB-2,India,59432.0,1,59431,1.0
catchall_55_60,2022,EB-2,ROW,41355.0,1,41355,0.0
catchall_55_60,2022,EB-3,China,5510.0,1,6452,-942.0
catchall_55_60,2022,EB-3,India,13919.0,1,12600,1319.0
catchall_55_60,2022,EB-3,ROW,61946.0,1,61946,0.0
catchall_55_60,2022,EB-4,China,181.0,1,280,-99.0
catchall_55_60,2022,EB-4,India,1368.0,1,1232,136.0
catchall_55_60,2022,EB-4,ROW,17994.0,1,18409,-415.0
catchall_55_60,2022,EB-5,China,8432.0,1,6125,2307.0
catchall_55_60,2022,EB-5,India,1368.0,1,1381,-13.0
catchall_55_60,2022,EB-5,ROW,1085.0,1,3379,-2294.0
catchall_55_60,2023,EB-1,China,9119.0,1,7007,2112.0
catchall_55_60,2023,EB-1,India,15385.0,1,16604,-1219.0
catchall_55_60,2023,EB-1,ROW,30960.0,1,33602,-2642.0
catchall_55_60,2023,EB-2,China,3882.0,1,6371,-2489.0
catchall_55_60,2023,EB-2,India,3882.0,1,4301,-419.0
catchall_55_60,2023,EB-2,ROW,47699.0,1,46245,1454.0
catchall_55_60,2023,EB-3,China,3882.0,1,4218,-336.0
catchall_55_60,2023,EB-3,India,3882.0,1,4782,-900.0
catchall_55_60,2023,EB-3,ROW,47699.0,1,47261,438.0
catchall_55_60,2023,EB-4,China,185.0,1,141,44.0
catchall_55_60,2023,EB-4,India,964.0,1,709,255.0
catchall_55_60,2023,EB-4,ROW,12620.0,1,12870,-250.0
catchall_55_60,2023,EB-5,China,11292.0,1,6262,5030.0
catchall_55_60,2023,EB-5,India,964.0,1,815,149.0
catchall_55_60,2023,EB-5,ROW,1513.0,1,2740,-1227.0
catchall_55_60,2024,EB-1,China,5895.0,1,6952,-1057.0
catchall_55_60,2024,EB-1,India,12280.0,1,8809,3471.0
catchall_55_60,2024,EB-1,ROW,29700.0,1,31433,-1733.0
catchall_55_60,2024,EB-2,China,3351.0,1,6556,-3205.0
catchall_55_60,2024,EB-2,India,3351.0,1,3916,-565.0
catchall_55_60,2024,EB-2,ROW,41173.0,1,35842,5331.0
catchall_55_60,2024,EB-3,China,3351.0,1,6141,-2790.0
catchall_55_60,2024,EB-3,India,3351.0,1,3655,-304.0
catchall_55_60,2024,EB-3,ROW,41172.0,1,37494,3678.0
catchall_55_60,2024,EB-4,China,308.0,1,78,230.0
catchall_55_60,2024,EB-4,India,832.0,1,428,404.0
catchall_55_60,2024,EB-4,ROW,10745.0,1,11166,-421.0
catchall_55_60,2024,EB-5,China,7213.0,1,9547,-2334.0
catchall_55_60,2024,EB-5,India,832.0,1,1428,-596.0
catchall_55_60,2024,EB-5,ROW,3840.0,1,3949,-109.0
catchall_60_65,2009,EB-1,China,4375.74,50,4999,-623.2600000000002
catchall_60_65,2009,EB-1,India,5454.38,50,6672,-1217.62
catchall_60_65,2009,EB-1,ROW,29386.74,50,29305,81.7400000000016
catchall_60_65,2009,EB-2,China,5684.82,50,3045,2639.8199999999997
catchall_60_65,2009,EB-2,India,9513.38,50,10106,-592.6200000000008
catchall_60_65,2009,EB-2,ROW,33029.78,50,32865,164.77999999999884
catchall_60_65,2009,EB-3,China,1077.0,50,1077,0.0
catchall_60_65,2009,EB-3,India,2304.0,50,2304,0.0
catchall_60_65,2009,EB-3,ROW,36941.0,50,36397,544.0
catchall_60_65,2009,EB-4,China,28.98,50,91,-62.019999999999996
catchall_60_65,2009,EB-4,India,488.52,50,771,-282.48
catchall_60_65,2009,EB-4,ROW,9479.48,50,9137,342.47999999999956
catchall_60_65,2009,EB-5,China,1431.8,50,1979,-547.2
catchall_60_65,2009,EB-5,India,56.86,50,72,-15.14
catchall_60_65,2009,EB-5,ROW,1734.52,50,2167,-432.48
catchall_60_65,2010,EB-1,China,5684.1,50,6741,-1056.8999999999996
catchall_60_65,2010,EB-1,India,6348.22,50,6741,-392.77999999999975
catchall_60_65,2010,EB-1,ROW,27858.96,50,27544,314.9599999999991
catchall_60_65,2010,EB-2,China,6021.84,50,6505,-483.15999999999985
catchall_60_65,2010,EB-2,India,10235.56,50,19961,-9725.44
catchall_60_65,2010,EB-2,ROW,36959.0,50,27406,9553.0
catchall_60_65,2010,EB-3,China,3008.0,50,3676,-668.0
catchall_60_65,2010,EB-3,India,3008.0,50,3036,-28.0
catchall_60_65,2010,EB-3,ROW,36959.0,50,35719,1240.0
catchall_60_65,2010,EB-4,China,25.6,50,98,-72.4
catchall_60_65,2010,EB-4,India,576.72,50,824,-247.27999999999997
catchall_60_65,2010,EB-4,ROW,10066.68,50,10126,-59.31999999999971
