scenario,year,outcome,dimension,group,threshold_age,denominator,count_at_or_above,share_pct,maximum_age,case,role,seed
Capped,2040,converted,category,EB-4,75,10187,0,0.0,68,catchall_60_65,primary,2014
Capped,2040,converted,category,EB-4,80,10187,0,0.0,68,catchall_60_65,primary,2014
Capped,2040,converted,category,EB-5,60,4718,59,1.2505298855447224,62,catchall_60_65,primary,2014
Capped,2040,converted,category,EB-5,65,4718,0,0.0,62,catchall_60_65,primary,2014
Capped,2040,converted,category,EB-5,70,4718,0,0.0,62,catchall_60_65,primary,2014
Capped,2040,converted,category,EB-5,75,4718,0,0.0,62,catchall_60_65,primary,2014
Capped,2040,converted,category,EB-5,80,4718,0,0.0,62,catchall_60_65,primary,2014
Capped,2040,converted,nationality,India,60,9813,868,8.845409151126058,71,catchall_60_65,primary,2014
Capped,2040,converted,nationality,India,65,9813,36,0.36686028737389176,71,catchall_60_65,primary,2014
Capped,2040,converted,nationality,India,70,9813,1,0.010190563538163661,71,catchall_60_65,primary,2014
Capped,2040,converted,nationality,India,75,9813,0,0.0,71,catchall_60_65,primary,2014
Capped,2040,converted,nationality,India,80,9813,0,0.0,71,catchall_60_65,primary,2014
Capped,2040,converted,nationality,China,60,9730,210,2.158273381294964,67,catchall_60_65,primary,2014
Capped,2040,converted,nationality,China,65,9730,13,0.13360739979445016,67,catchall_60_65,primary,2014
Capped,2040,converted,nationality,China,70,9730,0,0.0,67,catchall_60_65,primary,2014
Capped,2040,converted,nationality,China,75,9730,0,0.0,67,catchall_60_65,primary,2014
Capped,2040,converted,nationality,China,80,9730,0,0.0,67,catchall_60_65,primary,2014
Capped,2040,converted,nationality,ROW,60,61673,520,0.8431566487766121,68,catchall_60_65,primary,2014
Capped,2040,converted,nationality,ROW,65,61673,16,0.025943281500818836,68,catchall_60_65,primary,2014
Capped,2040,converted,nationality,ROW,70,61673,0,0.0,68,catchall_60_65,primary,2014
Capped,2040,converted,nationality,ROW,75,61673,0,0.0,68,catchall_60_65,primary,2014
Capped,2040,converted,nationality,ROW,80,61673,0,0.0,68,catchall_60_65,primary,2014
Capped,2040,still_waiting,overall,All EB,60,2773647,40881,1.4739078188392394,77,catchall_60_65,primary,2014
Capped,2040,still_waiting,overall,All EB,65,2773647,1479,0.05332329600702613,77,catchall_60_65,primary,2014
Capped,2040,still_waiting,overall,All EB,70,2773647,23,0.0008292331360119006,77,catchall_60_65,primary,2014
Capped,2040,still_waiting,overall,All EB,75,2773647,1,3.605361460921307e-05,77,catchall_60_65,primary,2014
Capped,2040,still_waiting,overall,All EB,80,2773647,0,0.0,77,catchall_60_65,primary,2014
Capped,2040,still_waiting,category,EB-1,60,129256,417,0.3226155845763446,65,catchall_60_65,primary,2014
Capped,2040,still_waiting,category,EB-1,65,129256,1,0.0007736584762022653,65,catchall_60_65,primary,2014
Capped,2040,still_waiting,category,EB-1,70,129256,0,0.0,65,catchall_60_65,primary,2014
Capped,2040,still_waiting,category,EB-1,75,129256,0,0.0,65,catchall_60_65,primary,2014
