scenario,entry_year,nationality,eb_category,observation_end_year,quantity,n,mean,sd_across_runs,mcse_mean,mean_ci95_low,mean_ci95_high,positive_runs,zero_runs,negative_runs
Uncapped,2019,China,EB-3,2061,total_created,2,1198.0,11.313708498984761,8.0,,,2,0,0
Uncapped,2019,China,EB-4,2061,total_created,2,47.0,0.0,0.0,,,2,0,0
Uncapped,2019,China,EB-5,2061,total_created,2,1274.5,13.435028842544403,9.5,,,2,0,0
Uncapped,2019,ROW,EB-1,2061,total_created,2,5731.0,21.213203435596427,15.0,,,2,0,0
Uncapped,2019,ROW,EB-2,2061,total_created,2,10881.0,7.0710678118654755,5.0,,,2,0,0
Uncapped,2019,ROW,EB-3,2061,total_created,2,12294.0,2.8284271247461903,2.0,,,2,0,0
Uncapped,2019,ROW,EB-4,2061,total_created,2,8636.0,19.79898987322333,13.999999999999998,,,2,0,0
Uncapped,2019,ROW,EB-5,2061,total_created,2,781.0,9.899494936611665,6.999999999999999,,,2,0,0
Uncapped,2020,India,EB-1,2061,total_created,2,3240.0,77.78174593052023,55.0,,,2,0,0
Uncapped,2020,India,EB-2,2061,total_created,2,16531.0,98.99494936611666,70.0,,,2,0,0
Uncapped,2020,India,EB-3,2061,total_created,2,4084.5,70.0035713374682,49.49999999999999,,,2,0,0
Uncapped,2020,India,EB-4,2061,total_created,2,567.5,28.991378028648448,20.5,,,2,0,0
Uncapped,2020,India,EB-5,2061,total_created,2,205.5,6.363961030678928,4.5,,,2,0,0
Uncapped,2020,China,EB-1,2061,total_created,2,921.0,24.041630560342615,16.999999999999996,,,2,0,0
Uncapped,2020,China,EB-2,2061,total_created,2,2206.5,26.16295090390226,18.5,,,2,0,0
Uncapped,2020,China,EB-3,2061,total_created,2,1480.0,50.91168824543142,36.0,,,2,0,0
Uncapped,2020,China,EB-4,2061,total_created,2,31.5,12.020815280171307,8.499999999999998,,,2,0,0
Uncapped,2020,China,EB-5,2061,total_created,2,875.5,21.920310216782973,15.499999999999998,,,2,0,0
Uncapped,2020,ROW,EB-1,2061,total_created,2,5371.0,79.19595949289332,55.99999999999999,,,2,0,0
Uncapped,2020,ROW,EB-2,2061,total_created,2,9799.0,83.43860018001261,59.0,,,2,0,0
Uncapped,2020,ROW,EB-3,2061,total_created,2,11220.5,218.4959953866432,154.5,,,2,0,0
Uncapped,2020,ROW,EB-4,2061,total_created,2,8386.0,97.58073580374356,69.0,,,2,0,0
Uncapped,2020,ROW,EB-5,2061,total_created,2,540.0,69.29646455628166,49.0,,,2,0,0
Uncapped,2021,India,EB-1,2061,total_created,2,3797.5,38.890872965260115,27.5,,,2,0,0
Uncapped,2021,India,EB-2,2061,total_created,2,17791.0,130.10764773832474,92.0,,,2,0,0
Uncapped,2021,India,EB-3,2061,total_created,2,22275.5,286.37824638055173,202.49999999999997,,,2,0,0
Uncapped,2021,India,EB-4,2061,total_created,2,413.0,46.66904755831214,33.0,,,2,0,0
Uncapped,2021,India,EB-5,2061,total_created,2,221.0,1.4142135623730951,1.0,,,2,0,0
Uncapped,2021,China,EB-1,2061,total_created,2,1013.5,2.1213203435596424,1.4999999999999998,,,2,0,0
Uncapped,2021,China,EB-2,2061,total_created,2,2030.0,57.982756057296896,41.0,,,2,0,0
Uncapped,2021,China,EB-3,2061,total_created,2,3285.5,31.81980515339464,22.5,,,2,0,0
Uncapped,2021,China,EB-4,2061,total_created,2,10.5,2.1213203435596424,1.4999999999999998,,,2,0,0
