case,role,dimension,group,quantity,policy,n,mean,sd_across_runs,mcse_mean,mean_ci95_low,mean_ci95_high,positive_runs,zero_runs,negative_runs
catchall_55_60,sensitivity,category,EB-1,principal_exits_2025_2040,Capped minus uncapped,1,-3081.0,,,,,0,0,1
catchall_55_60,sensitivity,category,EB-1,principal_backlog_2040,Capped,1,120821.0,,,,,1,0,0
catchall_55_60,sensitivity,category,EB-1,principal_backlog_2040,Uncapped,1,114165.0,,,,,1,0,0
catchall_55_60,sensitivity,category,EB-1,principal_backlog_2040,Capped minus uncapped,1,6656.0,,,,,1,0,0
catchall_55_60,sensitivity,category,EB-2,age21_events_2025_2040,Capped,1,121748.0,,,,,1,0,0
catchall_55_60,sensitivity,category,EB-2,age21_events_2025_2040,Uncapped,1,90568.0,,,,,1,0,0
catchall_55_60,sensitivity,category,EB-2,age21_events_2025_2040,Capped minus uncapped,1,31180.0,,,,,1,0,0
catchall_55_60,sensitivity,category,EB-2,principal_exits_2025_2040,Capped,1,434785.0,,,,,1,0,0
catchall_55_60,sensitivity,category,EB-2,principal_exits_2025_2040,Uncapped,1,378558.0,,,,,1,0,0
catchall_55_60,sensitivity,category,EB-2,principal_exits_2025_2040,Capped minus uncapped,1,56227.0,,,,,1,0,0
catchall_55_60,sensitivity,category,EB-2,principal_backlog_2040,Capped,1,903154.0,,,,,1,0,0
catchall_55_60,sensitivity,category,EB-2,principal_backlog_2040,Uncapped,1,952063.0,,,,,1,0,0
catchall_55_60,sensitivity,category,EB-2,principal_backlog_2040,Capped minus uncapped,1,-48909.0,,,,,0,0,1
catchall_55_60,sensitivity,category,EB-3,age21_events_2025_2040,Capped,1,50820.0,,,,,1,0,0
catchall_55_60,sensitivity,category,EB-3,age21_events_2025_2040,Uncapped,1,33266.0,,,,,1,0,0
catchall_55_60,sensitivity,category,EB-3,age21_events_2025_2040,Capped minus uncapped,1,17554.0,,,,,1,0,0
catchall_55_60,sensitivity,category,EB-3,principal_exits_2025_2040,Capped,1,295725.0,,,,,1,0,0
catchall_55_60,sensitivity,category,EB-3,principal_exits_2025_2040,Uncapped,1,288107.0,,,,,1,0,0
catchall_55_60,sensitivity,category,EB-3,principal_exits_2025_2040,Capped minus uncapped,1,7618.0,,,,,1,0,0
catchall_55_60,sensitivity,category,EB-3,principal_backlog_2040,Capped,1,488259.0,,,,,1,0,0
catchall_55_60,sensitivity,category,EB-3,principal_backlog_2040,Uncapped,1,507457.0,,,,,1,0,0
catchall_55_60,sensitivity,category,EB-3,principal_backlog_2040,Capped minus uncapped,1,-19198.0,,,,,0,0,1
catchall_55_60,sensitivity,category,EB-4,age21_events_2025_2040,Capped,1,38340.0,,,,,1,0,0
catchall_55_60,sensitivity,category,EB-4,age21_events_2025_2040,Uncapped,1,38713.0,,,,,1,0,0
catchall_55_60,sensitivity,category,EB-4,age21_events_2025_2040,Capped minus uncapped,1,-373.0,,,,,0,0,1
catchall_55_60,sensitivity,category,EB-4,principal_exits_2025_2040,Capped,1,539535.0,,,,,1,0,0
catchall_55_60,sensitivity,category,EB-4,principal_exits_2025_2040,Uncapped,1,540199.0,,,,,1,0,0
catchall_55_60,sensitivity,category,EB-4,principal_exits_2025_2040,Capped minus uncapped,1,-664.0,,,,,0,0,1
catchall_55_60,sensitivity,category,EB-4,principal_backlog_2040,Capped,1,983090.0,,,,,1,0,0
catchall_55_60,sensitivity,category,EB-4,principal_backlog_2040,Uncapped,1,979534.0,,,,,1,0,0
catchall_55_60,sensitivity,category,EB-4,principal_backlog_2040,Capped minus uncapped,1,3556.0,,,,,1,0,0
catchall_55_60,sensitivity,category,EB-5,age21_events_2025_2040,Capped,1,431.0,,,,,1,0,0
catchall_55_60,sensitivity,category,EB-5,age21_events_2025_2040,Uncapped,1,166.0,,,,,1,0,0
catchall_55_60,sensitivity,category,EB-5,age21_events_2025_2040,Capped minus uncapped,1,265.0,,,,,1,0,0
catchall_55_60,sensitivity,category,EB-5,principal_exits_2025_2040,Capped,1,7263.0,,,,,1,0,0
catchall_55_60,sensitivity,category,EB-5,principal_exits_2025_2040,Uncapped,1,7431.0,,,,,1,0,0
catchall_55_60,sensitivity,category,EB-5,principal_exits_2025_2040,Capped minus uncapped,1,-168.0,,,,,0,0,1
catchall_55_60,sensitivity,category,EB-5,principal_backlog_2040,Capped,1,20341.0,,,,,1,0,0
catchall_55_60,sensitivity,category,EB-5,principal_backlog_2040,Uncapped,1,19600.0,,,,,1,0,0
catchall_55_60,sensitivity,category,EB-5,principal_backlog_2040,Capped minus uncapped,1,741.0,,,,,1,0,0
catchall_55_60,sensitivity,joint,EB-1 / India,age21_events_2025_2040,Capped minus uncapped,1,1233.0,,,,,1,0,0
catchall_55_60,sensitivity,joint,EB-1 / China,age21_events_2025_2040,Capped minus uncapped,1,742.0,,,,,1,0,0
catchall_55_60,sensitivity,joint,EB-1 / ROW,age21_events_2025_2040,Capped minus uncapped,1,-417.0,,,,,0,0,1
catchall_55_60,sensitivity,joint,EB-2 / India,age21_events_2025_2040,Capped minus uncapped,1,59706.0,,,,,1,0,0
catchall_55_60,sensitivity,joint,EB-2 / China,age21_events_2025_2040,Capped minus uncapped,1,738.0,,,,,1,0,0
catchall_55_60,sensitivity,joint,EB-2 / ROW,age21_events_2025_2040,Capped minus uncapped,1,-29264.0,,,,,0,0,1
catchall_55_60,sensitivity,joint,EB-3 / India,age21_events_2025_2040,Capped minus uncapped,1,34824.0,,,,,1,0,0
catchall_55_60,sensitivity,joint,EB-3 / China,age21_events_2025_2040,Capped minus uncapped,1,1821.0,,,,,1,0,0
catchall_55_60,sensitivity,joint,EB-3 / ROW,age21_events_2025_2040,Capped minus uncapped,1,-19091.0,,,,,0,0,1
catchall_55_60,sensitivity,joint,EB-4 / India,age21_events_2025_2040,Capped minus uncapped,1,-806.0,,,,,0,0,1
catchall_55_60,sensitivity,joint,EB-4 / China,age21_events_2025_2040,Capped minus uncapped,1,-95.0,,,,,0,0,1
catchall_55_60,sensitivity,joint,EB-4 / ROW,age21_events_2025_2040,Capped minus uncapped,1,528.0,,,,,1,0,0
