annual_principal_exits,annual_visas,category,nationality,principal_backlog,scenario,year,case,role,seed
70,25800,EB-1,ROW,5812,Uncapped,2019,catchall_60_65,primary,2014
4574,2814,EB-2,India,267062,Uncapped,2019,catchall_60_65,primary,2014
941,2814,EB-2,China,38562,Uncapped,2019,catchall_60_65,primary,2014
531,34579,EB-2,ROW,20007,Uncapped,2019,catchall_60_65,primary,2014
2271,2814,EB-3,India,114811,Uncapped,2019,catchall_60_65,primary,2014
1062,2814,EB-3,China,28417,Uncapped,2019,catchall_60_65,primary,2014
1139,34579,EB-3,ROW,28638,Uncapped,2019,catchall_60_65,primary,2014
160,699,EB-4,India,4004,Uncapped,2019,catchall_60_65,primary,2014
0,219,EB-4,China,0,Uncapped,2019,catchall_60_65,primary,2014
6053,9064,EB-4,ROW,114476,Uncapped,2019,catchall_60_65,primary,2014
19,699,EB-5,India,1929,Uncapped,2019,catchall_60_65,primary,2014
186,6930,EB-5,China,23478,Uncapped,2019,catchall_60_65,primary,2014
0,2353,EB-5,ROW,0,Uncapped,2019,catchall_60_65,primary,2014
157,10666,EB-1,India,16881,Uncapped,2020,catchall_60_65,primary,2014
130,4766,EB-1,China,9123,Uncapped,2020,catchall_60_65,primary,2014
0,33506,EB-1,ROW,0,Uncapped,2020,catchall_60_65,primary,2014
4997,2599,EB-2,India,295939,Uncapped,2020,catchall_60_65,primary,2014
1162,3118,EB-2,China,46152,Uncapped,2020,catchall_60_65,primary,2014
572,36369,EB-2,ROW,21203,Uncapped,2020,catchall_60_65,primary,2014
2473,2946,EB-3,India,120108,Uncapped,2020,catchall_60_65,primary,2014
1126,2946,EB-3,China,30307,Uncapped,2020,catchall_60_65,primary,2014
1371,36193,EB-3,ROW,34613,Uncapped,2020,catchall_60_65,primary,2014
162,731,EB-4,India,4440,Uncapped,2020,catchall_60_65,primary,2014
0,162,EB-4,China,0,Uncapped,2020,catchall_60_65,primary,2014
7938,9555,EB-4,ROW,151766,Uncapped,2020,catchall_60_65,primary,2014
14,731,EB-5,India,1921,Uncapped,2020,catchall_60_65,primary,2014
249,1260,EB-5,China,24382,Uncapped,2020,catchall_60_65,primary,2014
0,1605,EB-5,ROW,0,Uncapped,2020,catchall_60_65,primary,2014
96,30825,EB-1,India,11260,Uncapped,2021,catchall_60_65,primary,2014
109,9118,EB-1,China,7996,Uncapped,2021,catchall_60_65,primary,2014
0,18777,EB-1,ROW,0,Uncapped,2021,catchall_60_65,primary,2014
5459,28246,EB-2,India,315675,Uncapped,2021,catchall_60_65,primary,2014
1320,6091,EB-2,China,50901,Uncapped,2021,catchall_60_65,primary,2014
749,25404,EB-2,ROW,28325,Uncapped,2021,catchall_60_65,primary,2014
3428,21129,EB-3,India,155472,Uncapped,2021,catchall_60_65,primary,2014
1454,3914,EB-3,China,36954,Uncapped,2021,catchall_60_65,primary,2014
1597,35173,EB-3,ROW,41640,Uncapped,2021,catchall_60_65,primary,2014
196,972,EB-4,India,4509,Uncapped,2021,catchall_60_65,primary,2014
0,67,EB-4,China,0,Uncapped,2021,catchall_60_65,primary,2014
8572,12842,EB-4,ROW,165093,Uncapped,2021,catchall_60_65,primary,2014
16,972,EB-5,India,1881,Uncapped,2021,catchall_60_65,primary,2014
310,972,EB-5,China,25106,Uncapped,2021,catchall_60_65,primary,2014
2,1005,EB-5,ROW,244,Uncapped,2021,catchall_60_65,primary,2014
96,20098,EB-1,India,10883,Uncapped,2022,catchall_60_65,primary,2014
89,11425,EB-1,China,6767,Uncapped,2022,catchall_60_65,primary,2014
0,22614,EB-1,ROW,0,Uncapped,2022,catchall_60_65,primary,2014
5544,59432,EB-2,India,329116,Uncapped,2022,catchall_60_65,primary,2014
1357,8523,EB-2,China,54852,Uncapped,2022,catchall_60_65,primary,2014
771,41355,EB-2,ROW,32380,Uncapped,2022,catchall_60_65,primary,2014
3715,13919,EB-3,India,161919,Uncapped,2022,catchall_60_65,primary,2014
1387,5510,EB-3,China,36551,Uncapped,2022,catchall_60_65,primary,2014
1684,61946,EB-3,ROW,43001,Uncapped,2022,catchall_60_65,primary,2014
210,1368,EB-4,India,5197,Uncapped,2022,catchall_60_65,primary,2014
0,181,EB-4,China,0,Uncapped,2022,catchall_60_65,primary,2014
9415,17994,EB-4,ROW,184598,Uncapped,2022,catchall_60_65,primary,2014
12,1368,EB-5,India,1448,Uncapped,2022,catchall_60_65,primary,2014
245,8420,EB-5,China,21702,Uncapped,2022,catchall_60_65,primary,2014
0,1097,EB-5,ROW,0,Uncapped,2022,catchall_60_65,primary,2014
136,15467,EB-1,India,15242,Uncapped,2023,catchall_60_65,primary,2014
119,9037,EB-1,China,9326,Uncapped,2023,catchall_60_65,primary,2014
0,30960,EB-1,ROW,0,Uncapped,2023,catchall_60_65,primary,2014
