case,role,scenario,year,outcome,dimension,group,threshold_age,quantity,n,mean,sd_across_runs,mcse_mean,mean_ci95_low,mean_ci95_high,positive_runs,zero_runs,negative_runs
catchall_55_60,sensitivity,Capped,2024,converted,nationality,India,65,share_pct,1,0.0,,,,,0,1,0
catchall_55_60,sensitivity,Capped,2024,converted,nationality,India,70,share_pct,1,0.0,,,,,0,1,0
catchall_55_60,sensitivity,Capped,2024,converted,nationality,India,75,share_pct,1,0.0,,,,,0,1,0
catchall_55_60,sensitivity,Capped,2024,converted,nationality,India,80,share_pct,1,0.0,,,,,0,1,0
catchall_55_60,sensitivity,Capped,2024,converted,nationality,China,60,share_pct,1,0.1532019201307323,,,,,1,0,0
catchall_55_60,sensitivity,Capped,2024,converted,nationality,China,65,share_pct,1,0.0,,,,,0,1,0
catchall_55_60,sensitivity,Capped,2024,converted,nationality,China,70,share_pct,1,0.0,,,,,0,1,0
catchall_55_60,sensitivity,Capped,2024,converted,nationality,China,75,share_pct,1,0.0,,,,,0,1,0
catchall_55_60,sensitivity,Capped,2024,converted,nationality,China,80,share_pct,1,0.0,,,,,0,1,0
catchall_55_60,sensitivity,Capped,2024,converted,nationality,ROW,60,share_pct,1,0.037505540591223706,,,,,1,0,0
catchall_55_60,sensitivity,Capped,2024,converted,nationality,ROW,65,share_pct,1,0.0,,,,,0,1,0
catchall_55_60,sensitivity,Capped,2024,converted,nationality,ROW,70,share_pct,1,0.0,,,,,0,1,0
catchall_55_60,sensitivity,Capped,2024,converted,nationality,ROW,75,share_pct,1,0.0,,,,,0,1,0
catchall_55_60,sensitivity,Capped,2024,converted,nationality,ROW,80,share_pct,1,0.0,,,,,0,1,0
catchall_55_60,sensitivity,Capped,2040,converted,overall,All EB,60,share_pct,1,0.19891944990176819,,,,,1,0,0
catchall_55_60,sensitivity,Capped,2040,converted,overall,All EB,65,share_pct,1,0.004911591355599214,,,,,1,0,0
catchall_55_60,sensitivity,Capped,2040,converted,overall,All EB,70,share_pct,1,0.0,,,,,0,1,0
catchall_55_60,sensitivity,Capped,2040,converted,overall,All EB,75,share_pct,1,0.0,,,,,0,1,0
catchall_55_60,sensitivity,Capped,2040,converted,overall,All EB,80,share_pct,1,0.0,,,,,0,1,0
catchall_55_60,sensitivity,Capped,2040,converted,category,EB-1,60,share_pct,1,0.048911714355588165,,,,,1,0,0
catchall_55_60,sensitivity,Capped,2040,converted,category,EB-1,65,share_pct,1,0.0,,,,,0,1,0
catchall_55_60,sensitivity,Capped,2040,converted,category,EB-1,70,share_pct,1,0.0,,,,,0,1,0
catchall_55_60,sensitivity,Capped,2040,converted,category,EB-1,75,share_pct,1,0.0,,,,,0,1,0
catchall_55_60,sensitivity,Capped,2040,converted,category,EB-1,80,share_pct,1,0.0,,,,,0,1,0
catchall_55_60,sensitivity,Capped,2040,converted,category,EB-2,60,share_pct,1,0.22901791728411694,,,,,1,0,0
catchall_55_60,sensitivity,Capped,2040,converted,category,EB-2,65,share_pct,1,0.008981094795455566,,,,,1,0,0
catchall_55_60,sensitivity,Capped,2040,converted,category,EB-2,70,share_pct,1,0.0,,,,,0,1,0
catchall_55_60,sensitivity,Capped,2040,converted,category,EB-2,75,share_pct,1,0.0,,,,,0,1,0
catchall_55_60,sensitivity,Capped,2040,converted,category,EB-2,80,share_pct,1,0.0,,,,,0,1,0
catchall_55_60,sensitivity,Capped,2040,converted,category,EB-3,60,share_pct,1,0.3156861908621646,,,,,1,0,0
catchall_55_60,sensitivity,Capped,2040,converted,category,EB-3,65,share_pct,1,0.004266029606245467,,,,,1,0,0
catchall_55_60,sensitivity,Capped,2040,converted,category,EB-3,70,share_pct,1,0.0,,,,,0,1,0
catchall_55_60,sensitivity,Capped,2040,converted,category,EB-3,75,share_pct,1,0.0,,,,,0,1,0
catchall_55_60,sensitivity,Capped,2040,converted,category,EB-3,80,share_pct,1,0.0,,,,,0,1,0
catchall_55_60,sensitivity,Capped,2040,converted,category,EB-4,60,share_pct,1,0.2264791922242144,,,,,1,0,0
catchall_55_60,sensitivity,Capped,2040,converted,category,EB-4,65,share_pct,1,0.009436633009342266,,,,,1,0,0
catchall_55_60,sensitivity,Capped,2040,converted,category,EB-4,70,share_pct,1,0.0,,,,,0,1,0
catchall_55_60,sensitivity,Capped,2040,converted,category,EB-4,75,share_pct,1,0.0,,,,,0,1,0
catchall_55_60,sensitivity,Capped,2040,converted,category,EB-4,80,share_pct,1,0.0,,,,,0,1,0
catchall_55_60,sensitivity,Capped,2040,converted,category,EB-5,60,share_pct,1,0.06399317406143344,,,,,1,0,0
catchall_55_60,sensitivity,Capped,2040,converted,category,EB-5,65,share_pct,1,0.0,,,,,0,1,0
catchall_55_60,sensitivity,Capped,2040,converted,category,EB-5,70,share_pct,1,0.0,,,,,0,1,0
catchall_55_60,sensitivity,Capped,2040,converted,category,EB-5,75,share_pct,1,0.0,,,,,0,1,0
catchall_55_60,sensitivity,Capped,2040,converted,category,EB-5,80,share_pct,1,0.0,,,,,0,1,0
catchall_55_60,sensitivity,Capped,2040,converted,nationality,India,60,share_pct,1,0.9929368410277408,,,,,1,0,0
catchall_55_60,sensitivity,Capped,2040,converted,nationality,India,65,share_pct,1,0.03070938683590951,,,,,1,0,0
catchall_55_60,sensitivity,Capped,2040,converted,nationality,India,70,share_pct,1,0.0,,,,,0,1,0
catchall_55_60,sensitivity,Capped,2040,converted,nationality,India,75,share_pct,1,0.0,,,,,0,1,0
catchall_55_60,sensitivity,Capped,2040,converted,nationality,India,80,share_pct,1,0.0,,,,,0,1,0
catchall_55_60,sensitivity,Capped,2040,converted,nationality,China,60,share_pct,1,0.17542049324115158,,,,,1,0,0
catchall_55_60,sensitivity,Capped,2040,converted,nationality,China,65,share_pct,1,0.0,,,,,0,1,0
catchall_55_60,sensitivity,Capped,2040,converted,nationality,China,70,share_pct,1,0.0,,,,,0,1,0
catchall_55_60,sensitivity,Capped,2040,converted,nationality,China,75,share_pct,1,0.0,,,,,0,1,0
catchall_55_60,sensitivity,Capped,2040,converted,nationality,China,80,share_pct,1,0.0,,,,,0,1,0
catchall_55_60,sensitivity,Capped,2040,converted,nationality,ROW,60,share_pct,1,0.07744433688286544,,,,,1,0,0
catchall_55_60,sensitivity,Capped,2040,converted,nationality,ROW,65,share_pct,1,0.0016134236850596966,,,,,1,0,0
catchall_55_60,sensitivity,Capped,2040,converted,nationality,ROW,70,share_pct,1,0.0,,,,,0,1,0
catchall_55_60,sensitivity,Capped,2040,converted,nationality,ROW,75,share_pct,1,0.0,,,,,0,1,0
catchall_55_60,sensitivity,Capped,2040,converted,nationality,ROW,80,share_pct,1,0.0,,,,,0,1,0
catchall_55_60,sensitivity,Capped,2040,still_waiting,overall,All EB,60,share_pct,1,0.136464910868498,,,,,1,0,0
catchall_55_60,sensitivity,Capped,2040,still_waiting,overall,All EB,65,share_pct,1,0.0031403227377254125,,,,,1,0,0
catchall_55_60,sensitivity,Capped,2040,still_waiting,overall,All EB,70,share_pct,1,0.00019875460365350713,,,,,1,0,0
catchall_55_60,sensitivity,Capped,2040,still_waiting,overall,All EB,75,share_pct,1,0.0,,,,,0,1,0
catchall_55_60,sensitivity,Capped,2040,still_waiting,overall,All EB,80,share_pct,1,0.0,,,,,0,1,0
catchall_55_60,sensitivity,Capped,2040,still_waiting,category,EB-1,60,share_pct,1,0.03890052226020311,,,,,1,0,0
catchall_55_60,sensitivity,Capped,2040,still_waiting,category,EB-1,65,share_pct,1,0.0,,,,,0,1,0
catchall_55_60,sensitivity,Capped,2040,still_waiting,category,EB-1,70,share_pct,1,0.0,,,,,0,1,0
catchall_55_60,sensitivity,Capped,2040,still_waiting,category,EB-1,75,share_pct,1,0.0,,,,,0,1,0
catchall_55_60,sensitivity,Capped,2040,still_waiting,category,EB-1,80,share_pct,1,0.0,,,,,0,1,0
catchall_55_60,sensitivity,Capped,2040,still_waiting,category,EB-2,60,share_pct,1,0.2268716077213853,,,,,1,0,0
catchall_55_60,sensitivity,Capped,2040,still_waiting,category,EB-2,65,share_pct,1,0.005093262057190689,,,,,1,0,0
