case,role,scenario,entry_cohort_window,dimension,group,quantity,n,mean,sd_across_runs,mcse_mean,mean_ci95_low,mean_ci95_high,positive_runs,zero_runs,negative_runs
catchall_60_65,primary,Capped,entries_2025_2040,joint,EB-2 / ROW,still_dependent,50,52596.58,417.113848795677,58.988806202048686,52478.03755578855,52715.122444211454,50,0,0
catchall_60_65,primary,Capped,entries_2025_2040,joint,EB-3 / India,still_dependent,50,57594.32,299.63586336125536,42.37491017388589,57509.16442983898,57679.47557016102,50,0,0
catchall_60_65,primary,Capped,entries_2025_2040,joint,EB-3 / China,still_dependent,50,23880.7,159.46943280767007,22.5523834660552,23835.37928864837,23926.02071135163,50,0,0
catchall_60_65,primary,Capped,entries_2025_2040,joint,EB-3 / ROW,still_dependent,50,111746.78,501.1111445414814,70.86781768668673,111604.36578846745,111889.19421153255,50,0,0
catchall_60_65,primary,Capped,entries_2025_2040,joint,EB-4 / India,still_dependent,50,8221.8,147.13009653406215,20.80733779517334,8179.986089216236,8263.613910783763,50,0,0
catchall_60_65,primary,Capped,entries_2025_2040,joint,EB-4 / China,still_dependent,50,0.0,0.0,0.0,0.0,0.0,0,50,0
catchall_60_65,primary,Capped,entries_2025_2040,joint,EB-4 / ROW,still_dependent,50,92172.42,345.26801715981367,48.8282712521075,92074.29591521993,92270.54408478006,50,0,0
catchall_60_65,primary,Capped,entries_2025_2040,joint,EB-5 / India,still_dependent,50,4783.14,96.76143817847763,13.684133818672885,4755.640703536433,4810.639296463568,50,0,0
catchall_60_65,primary,Capped,entries_2025_2040,joint,EB-5 / China,still_dependent,50,10458.94,111.90327638325037,15.825513113517754,10427.137440732211,10490.74255926779,50,0,0
catchall_60_65,primary,Capped,entries_2025_2040,joint,EB-5 / ROW,still_dependent,50,0.0,0.0,0.0,0.0,0.0,0,50,0
catchall_55_60,sensitivity,Uncapped,all_entries_2009_2040,overall,All,still_dependent,1,754712.0,,,,,1,0,0
catchall_55_60,sensitivity,Uncapped,all_entries_2009_2040,nationality,India,still_dependent,1,300574.0,,,,,1,0,0
catchall_55_60,sensitivity,Uncapped,all_entries_2009_2040,nationality,China,still_dependent,1,61634.0,,,,,1,0,0
catchall_55_60,sensitivity,Uncapped,all_entries_2009_2040,nationality,ROW,still_dependent,1,392504.0,,,,,1,0,0
catchall_55_60,sensitivity,Uncapped,all_entries_2009_2040,category,EB-1,still_dependent,1,60627.0,,,,,1,0,0
catchall_55_60,sensitivity,Uncapped,all_entries_2009_2040,category,EB-2,still_dependent,1,382641.0,,,,,1,0,0
catchall_55_60,sensitivity,Uncapped,all_entries_2009_2040,category,EB-3,still_dependent,1,209729.0,,,,,1,0,0
catchall_55_60,sensitivity,Uncapped,all_entries_2009_2040,category,EB-4,still_dependent,1,89129.0,,,,,1,0,0
catchall_55_60,sensitivity,Uncapped,all_entries_2009_2040,category,EB-5,still_dependent,1,12586.0,,,,,1,0,0
catchall_55_60,sensitivity,Uncapped,all_entries_2009_2040,joint,EB-1 / India,still_dependent,1,19716.0,,,,,1,0,0
catchall_55_60,sensitivity,Uncapped,all_entries_2009_2040,joint,EB-1 / China,still_dependent,1,7707.0,,,,,1,0,0
catchall_55_60,sensitivity,Uncapped,all_entries_2009_2040,joint,EB-1 / ROW,still_dependent,1,33204.0,,,,,1,0,0
catchall_55_60,sensitivity,Uncapped,all_entries_2009_2040,joint,EB-2 / India,still_dependent,1,224482.0,,,,,1,0,0
catchall_55_60,sensitivity,Uncapped,all_entries_2009_2040,joint,EB-2 / China,still_dependent,1,28272.0,,,,,1,0,0
catchall_55_60,sensitivity,Uncapped,all_entries_2009_2040,joint,EB-2 / ROW,still_dependent,1,129887.0,,,,,1,0,0
catchall_55_60,sensitivity,Uncapped,all_entries_2009_2040,joint,EB-3 / India,still_dependent,1,46388.0,,,,,1,0,0
catchall_55_60,sensitivity,Uncapped,all_entries_2009_2040,joint,EB-3 / China,still_dependent,1,19737.0,,,,,1,0,0
catchall_55_60,sensitivity,Uncapped,all_entries_2009_2040,joint,EB-3 / ROW,still_dependent,1,143604.0,,,,,1,0,0
catchall_55_60,sensitivity,Uncapped,all_entries_2009_2040,joint,EB-4 / India,still_dependent,1,7362.0,,,,,1,0,0
catchall_55_60,sensitivity,Uncapped,all_entries_2009_2040,joint,EB-4 / China,still_dependent,1,400.0,,,,,1,0,0
catchall_55_60,sensitivity,Uncapped,all_entries_2009_2040,joint,EB-4 / ROW,still_dependent,1,81367.0,,,,,1,0,0
catchall_55_60,sensitivity,Uncapped,all_entries_2009_2040,joint,EB-5 / India,still_dependent,1,2626.0,,,,,1,0,0
catchall_55_60,sensitivity,Uncapped,all_entries_2009_2040,joint,EB-5 / China,still_dependent,1,5518.0,,,,,1,0,0
catchall_55_60,sensitivity,Uncapped,all_entries_2009_2040,joint,EB-5 / ROW,still_dependent,1,4442.0,,,,,1,0,0
catchall_55_60,sensitivity,Uncapped,entries_2009_2024,overall,All,still_dependent,1,4079.0,,,,,1,0,0
catchall_55_60,sensitivity,Uncapped,entries_2009_2024,nationality,India,still_dependent,1,2302.0,,,,,1,0,0
catchall_55_60,sensitivity,Uncapped,entries_2009_2024,nationality,China,still_dependent,1,244.0,,,,,1,0,0
catchall_55_60,sensitivity,Uncapped,entries_2009_2024,nationality,ROW,still_dependent,1,1533.0,,,,,1,0,0
catchall_55_60,sensitivity,Uncapped,entries_2009_2024,category,EB-1,still_dependent,1,0.0,,,,,0,1,0
catchall_55_60,sensitivity,Uncapped,entries_2009_2024,category,EB-2,still_dependent,1,3319.0,,,,,1,0,0
catchall_55_60,sensitivity,Uncapped,entries_2009_2024,category,EB-3,still_dependent,1,0.0,,,,,0,1,0
catchall_55_60,sensitivity,Uncapped,entries_2009_2024,category,EB-4,still_dependent,1,760.0,,,,,1,0,0
catchall_55_60,sensitivity,Uncapped,entries_2009_2024,category,EB-5,still_dependent,1,0.0,,,,,0,1,0
catchall_55_60,sensitivity,Uncapped,entries_2009_2024,joint,EB-1 / India,still_dependent,1,0.0,,,,,0,1,0
catchall_55_60,sensitivity,Uncapped,entries_2009_2024,joint,EB-1 / China,still_dependent,1,0.0,,,,,0,1,0
catchall_55_60,sensitivity,Uncapped,entries_2009_2024,joint,EB-1 / ROW,still_dependent,1,0.0,,,,,0,1,0
catchall_55_60,sensitivity,Uncapped,entries_2009_2024,joint,EB-2 / India,still_dependent,1,2213.0,,,,,1,0,0
catchall_55_60,sensitivity,Uncapped,entries_2009_2024,joint,EB-2 / China,still_dependent,1,244.0,,,,,1,0,0
catchall_55_60,sensitivity,Uncapped,entries_2009_2024,joint,EB-2 / ROW,still_dependent,1,862.0,,,,,1,0,0
catchall_55_60,sensitivity,Uncapped,entries_2009_2024,joint,EB-3 / India,still_dependent,1,0.0,,,,,0,1,0
catchall_55_60,sensitivity,Uncapped,entries_2009_2024,joint,EB-3 / China,still_dependent,1,0.0,,,,,0,1,0
catchall_55_60,sensitivity,Uncapped,entries_2009_2024,joint,EB-3 / ROW,still_dependent,1,0.0,,,,,0,1,0
catchall_55_60,sensitivity,Uncapped,entries_2009_2024,joint,EB-4 / India,still_dependent,1,89.0,,,,,1,0,0
catchall_55_60,sensitivity,Uncapped,entries_2009_2024,joint,EB-4 / China,still_dependent,1,0.0,,,,,0,1,0
catchall_55_60,sensitivity,Uncapped,entries_2009_2024,joint,EB-4 / ROW,still_dependent,1,671.0,,,,,1,0,0
catchall_55_60,sensitivity,Uncapped,entries_2009_2024,joint,EB-5 / India,still_dependent,1,0.0,,,,,0,1,0
catchall_55_60,sensitivity,Uncapped,entries_2009_2024,joint,EB-5 / China,still_dependent,1,0.0,,,,,0,1,0
catchall_55_60,sensitivity,Uncapped,entries_2009_2024,joint,EB-5 / ROW,still_dependent,1,0.0,,,,,0,1,0
catchall_55_60,sensitivity,Uncapped,entries_2025_2040,overall,All,still_dependent,1,750633.0,,,,,1,0,0
catchall_55_60,sensitivity,Uncapped,entries_2025_2040,nationality,India,still_dependent,1,298272.0,,,,,1,0,0
catchall_55_60,sensitivity,Uncapped,entries_2025_2040,nationality,China,still_dependent,1,61390.0,,,,,1,0,0
catchall_55_60,sensitivity,Uncapped,entries_2025_2040,nationality,ROW,still_dependent,1,390971.0,,,,,1,0,0
catchall_55_60,sensitivity,Uncapped,entries_2025_2040,category,EB-1,still_dependent,1,60627.0,,,,,1,0,0
catchall_55_60,sensitivity,Uncapped,entries_2025_2040,category,EB-2,still_dependent,1,379322.0,,,,,1,0,0
catchall_55_60,sensitivity,Uncapped,entries_2025_2040,category,EB-3,still_dependent,1,209729.0,,,,,1,0,0
catchall_55_60,sensitivity,Uncapped,entries_2025_2040,category,EB-4,still_dependent,1,88369.0,,,,,1,0,0
catchall_55_60,sensitivity,Uncapped,entries_2025_2040,category,EB-5,still_dependent,1,12586.0,,,,,1,0,0
catchall_55_60,sensitivity,Uncapped,entries_2025_2040,joint,EB-1 / India,still_dependent,1,19716.0,,,,,1,0,0
catchall_55_60,sensitivity,Uncapped,entries_2025_2040,joint,EB-1 / China,still_dependent,1,7707.0,,,,,1,0,0
catchall_55_60,sensitivity,Uncapped,entries_2025_2040,joint,EB-1 / ROW,still_dependent,1,33204.0,,,,,1,0,0
