seed,metric,period,dimension,group,scenario,value
2016,ageouts,projection,category,EB-5,Capped minus uncapped,508.0
2016,ageouts,full,category,EB-5,Uncapped,786.0
2016,ageouts,full,category,EB-5,Capped,1294.0
2016,ageouts,full,category,EB-5,Capped minus uncapped,508.0
2016,exits,historical,overall,All,Uncapped,239793.0
2016,exits,historical,overall,All,Capped,239793.0
2016,exits,historical,overall,All,Capped minus uncapped,0.0
2016,exits,projection,overall,All,Uncapped,1072707.0
2016,exits,projection,overall,All,Capped,1093562.0
2016,exits,projection,overall,All,Capped minus uncapped,20855.0
2016,exits,full,overall,All,Uncapped,1312500.0
2016,exits,full,overall,All,Capped,1333355.0
2016,exits,full,overall,All,Capped minus uncapped,20855.0
2016,exits,historical,nationality,India,Uncapped,96152.0
2016,exits,historical,nationality,India,Capped,96152.0
2016,exits,historical,nationality,India,Capped minus uncapped,0.0
2016,exits,projection,nationality,India,Uncapped,187473.0
2016,exits,projection,nationality,India,Capped,335356.0
2016,exits,projection,nationality,India,Capped minus uncapped,147883.0
2016,exits,full,nationality,India,Uncapped,283625.0
2016,exits,full,nationality,India,Capped,431508.0
2016,exits,full,nationality,India,Capped minus uncapped,147883.0
2016,exits,historical,nationality,China,Uncapped,32566.0
2016,exits,historical,nationality,China,Capped,32566.0
2016,exits,historical,nationality,China,Capped minus uncapped,0.0
2016,exits,projection,nationality,China,Uncapped,95075.0
2016,exits,projection,nationality,China,Capped,104389.0
2016,exits,projection,nationality,China,Capped minus uncapped,9314.0
2016,exits,full,nationality,China,Uncapped,127641.0
2016,exits,full,nationality,China,Capped,136955.0
2016,exits,full,nationality,China,Capped minus uncapped,9314.0
2016,exits,historical,nationality,ROW,Uncapped,111075.0
2016,exits,historical,nationality,ROW,Capped,111075.0
2016,exits,historical,nationality,ROW,Capped minus uncapped,0.0
2016,exits,projection,nationality,ROW,Uncapped,790159.0
2016,exits,projection,nationality,ROW,Capped,653817.0
2016,exits,projection,nationality,ROW,Capped minus uncapped,-136342.0
2016,exits,full,nationality,ROW,Uncapped,901234.0
2016,exits,full,nationality,ROW,Capped,764892.0
2016,exits,full,nationality,ROW,Capped minus uncapped,-136342.0
2016,exits,historical,category,EB-1,Uncapped,2366.0
