aged_out,ageout_pct,eb_category,entry_year,exit_pct,exited,nationality,save_pct,saved,scenario,still_dependent,total_created,seed,observation_end_year
134,12.430426716141001,EB-3,2023,29.777365491651203,321,China,57.7922077922078,623,Uncapped,0,1078,2014,2061
0,0.0,EB-4,2023,0.0,0,China,100.0,22,Uncapped,0,22,2014,2061
0,0.0,EB-5,2023,3.7828947368421053,23,China,96.2171052631579,585,Uncapped,0,608,2014,2061
0,0.0,EB-1,2023,1.606562980687062,94,India,98.39343701931294,5757,Uncapped,0,5851,2014,2061
6606,35.90802848290482,EB-2,2023,23.835407946947875,4385,India,40.25656357014731,7406,Uncapped,0,18397,2014,2061
274,4.626034104339018,EB-3,2023,20.428836738139456,1210,India,74.94512915752154,4439,Uncapped,0,5923,2014,2061
482,41.84027777777778,EB-4,2023,46.52777777777778,536,India,11.631944444444445,134,Uncapped,0,1152,2014,2061
6,2.2222222222222223,EB-5,2023,2.9629629629629632,8,India,94.81481481481482,256,Uncapped,0,270,2014,2061
0,0.0,EB-1,2023,0.0,0,ROW,100.0,8371,Uncapped,0,8371,2014,2061
4832,29.74819922428123,EB-2,2023,27.433355907160006,4456,ROW,42.818444868558764,6955,Uncapped,0,16243,2014,2061
2280,12.199036918138042,EB-3,2023,31.348314606741575,5859,ROW,56.452648475120384,10551,Uncapped,0,18690,2014,2061
3865,36.00708030557108,EB-4,2023,53.4190422955096,5734,ROW,10.573877398919322,1135,Uncapped,0,10734,2014,2061
0,0.0,EB-5,2023,0.0,0,ROW,100.0,458,Uncapped,0,458,2014,2061
0,0.0,EB-1,2024,1.9905709795704558,38,China,98.00942902042954,1871,Uncapped,0,1909,2014,2061
1125,44.37869822485207,EB-2,2024,31.676528599605525,803,China,23.944773175542405,607,Uncapped,0,2535,2014,2061
309,13.359273670557718,EB-3,2024,31.776913099870296,735,China,54.86381322957199,1269,Uncapped,0,2313,2014,2061
0,0.0,EB-4,2024,0.0,0,China,100.0,37,Uncapped,0,37,2014,2061
0,0.0,EB-5,2024,2.340290955091714,37,China,97.65970904490828,1544,Uncapped,0,1581,2014,2061
0,0.0,EB-1,2024,1.6033755274261603,76,India,98.39662447257383,4664,Uncapped,0,4740,2014,2061
7626,41.979522184300336,EB-2,2024,25.11284817791479,4562,India,32.90762963778487,5978,Uncapped,0,18166,2014,2061
257,5.485592315901814,EB-3,2024,22.411953041622198,1050,India,72.10245464247599,3378,Uncapped,0,4685,2014,2061
411,44.14607948442535,EB-4,2024,50.05370569280344,466,India,5.800214822771213,54,Uncapped,0,931,2014,2061
0,0.0,EB-5,2024,2.4930747922437675,18,India,97.50692520775624,704,Uncapped,0,722,2014,2061
0,0.0,EB-1,2024,0.0,0,ROW,100.0,8124,Uncapped,0,8124,2014,2061
5758,44.15982820768464,EB-2,2024,37.809647979139505,4930,ROW,18.030523813175858,2351,Uncapped,0,13039,2014,2061
2406,14.020161995221725,EB-3,2024,32.0960316997844,5508,ROW,53.88380630499389,9247,Uncapped,0,17161,2014,2061
4505,40.780302344527925,EB-4,2024,55.001357834706255,6076,ROW,4.218339820765818,466,Uncapped,0,11047,2014,2061
0,0.0,EB-5,2024,0.0,0,ROW,100.0,1229,Uncapped,0,1229,2014,2061
0,0.0,EB-1,2025,1.8154311649016641,36,China,98.18456883509835,1947,Uncapped,0,1983,2014,2061
1282,50.1761252446184,EB-2,2025,30.645792563600782,783,China,19.17808219178082,490,Uncapped,0,2555,2014,2061
307,13.518273888154997,EB-3,2025,31.616028181417878,718,China,54.865697930427125,1246,Uncapped,0,2271,2014,2061
19,48.717948717948715,EB-4,2025,51.28205128205128,20,China,0.0,0,Uncapped,0,39,2014,2061
0,0.0,EB-5,2025,2.037037037037037,33,China,97.96296296296296,1587,Uncapped,0,1620,2014,2061
0,0.0,EB-1,2025,1.5091863517060367,69,India,98.49081364829397,4503,Uncapped,0,4572,2014,2061
8644,47.400745777582806,EB-2,2025,26.91379688528186,4908,India,25.685457337135336,4684,Uncapped,0,18236,2014,2061
350,7.6889279437609845,EB-3,2025,23.110720562390156,1052,India,69.20035149384886,3150,Uncapped,0,4552,2014,2061
488,50.88633993743483,EB-4,2025,48.38373305526591,464,India,0.7299270072992701,7,Uncapped,0,959,2014,2061
0,0.0,EB-5,2025,3.8863976083707024,26,India,96.1136023916293,643,Uncapped,0,669,2014,2061
9,0.11323603422244591,EB-1,2025,1.9250125817815802,153,ROW,97.96175138399597,7786,Uncapped,0,7948,2014,2061
6197,48.20692337611824,EB-2,2025,37.604045118630886,4834,ROW,14.189031505250876,1824,Uncapped,0,12855,2014,2061
2825,16.279605831844638,EB-3,2025,33.65988589869187,5841,ROW,50.06050826946349,8687,Uncapped,0,17353,2014,2061
