scenario,entry_year,nationality,eb_category,seed,fate,value,observation_end_year
Uncapped,2015,India,EB-5,2014,aged_out,0.0,2061
Uncapped,2015,India,EB-5,2014,exited,0.0,2061
Uncapped,2015,India,EB-5,2014,still_dependent,0.0,2061
Uncapped,2015,ROW,EB-1,2014,saved,100.0,2061
Uncapped,2015,ROW,EB-1,2014,aged_out,0.0,2061
Uncapped,2015,ROW,EB-1,2014,exited,0.0,2061
Uncapped,2015,ROW,EB-1,2014,still_dependent,0.0,2061
Uncapped,2015,ROW,EB-2,2014,saved,99.57247961821436,2061
Uncapped,2015,ROW,EB-2,2014,aged_out,0.0,2061
Uncapped,2015,ROW,EB-2,2014,exited,0.4275203817856433,2061
Uncapped,2015,ROW,EB-2,2014,still_dependent,0.0,2061
Uncapped,2015,ROW,EB-3,2014,saved,96.5391621129326,2061
Uncapped,2015,ROW,EB-3,2014,aged_out,0.0,2061
Uncapped,2015,ROW,EB-3,2014,exited,3.4608378870673953,2061
Uncapped,2015,ROW,EB-3,2014,still_dependent,0.0,2061
Uncapped,2015,ROW,EB-4,2014,saved,58.31257783312578,2061
Uncapped,2015,ROW,EB-4,2014,aged_out,9.76027397260274,2061
Uncapped,2015,ROW,EB-4,2014,exited,31.92714819427148,2061
Uncapped,2015,ROW,EB-4,2014,still_dependent,0.0,2061
Uncapped,2015,ROW,EB-5,2014,saved,100.0,2061
Uncapped,2015,ROW,EB-5,2014,aged_out,0.0,2061
Uncapped,2015,ROW,EB-5,2014,exited,0.0,2061
Uncapped,2015,ROW,EB-5,2014,still_dependent,0.0,2061
Uncapped,2016,China,EB-1,2014,saved,98.63636363636364,2061
Uncapped,2016,China,EB-1,2014,aged_out,0.0,2061
Uncapped,2016,China,EB-1,2014,exited,1.3636363636363635,2061
Uncapped,2016,China,EB-1,2014,still_dependent,0.0,2061
Uncapped,2016,China,EB-2,2014,saved,80.03901170351105,2061
Uncapped,2016,China,EB-2,2014,aged_out,4.876462938881665,2061
Uncapped,2016,China,EB-2,2014,exited,15.084525357607282,2061
Uncapped,2016,China,EB-2,2014,still_dependent,0.0,2061
Uncapped,2016,China,EB-3,2014,saved,52.394106813996316,2061
Uncapped,2016,China,EB-3,2014,aged_out,11.32596685082873,2061
