seed,metric,period,dimension,group,scenario,value
2017,ageouts,projection,category,EB-2,Uncapped,54.316705429465074
2017,ageouts,full,category,EB-2,Uncapped,51.480632695245795
2017,ageouts,historical,category,EB-3,Uncapped,41.30057301614864
2017,ageouts,projection,category,EB-3,Uncapped,20.124408533162242
2017,ageouts,full,category,EB-3,Uncapped,22.31643749438303
2017,ageouts,historical,category,EB-4,Uncapped,30.808300052092378
2017,ageouts,projection,category,EB-4,Uncapped,24.92631726682172
2017,ageouts,full,category,EB-4,Uncapped,25.535184685899164
2017,ageouts,historical,category,EB-5,Uncapped,0.9723910401111304
2017,ageouts,projection,category,EB-5,Uncapped,0.2681650493223193
2017,ageouts,full,category,EB-5,Uncapped,0.3410622809382583
2017,exits,historical,overall,All,Uncapped,100.0
2017,exits,projection,overall,All,Uncapped,100.0
2017,exits,full,overall,All,Uncapped,100.0
2017,exits,historical,nationality,India,Uncapped,40.0763358778626
2017,exits,projection,nationality,India,Uncapped,17.414198550612433
2017,exits,full,nationality,India,Uncapped,21.566867674116512
2017,exits,historical,nationality,China,Uncapped,13.633604417169751
2017,exits,projection,nationality,China,Uncapped,8.921876909328859
2017,exits,full,nationality,China,Uncapped,9.785266141228368
2017,exits,historical,nationality,ROW,Uncapped,46.29005970496765
2017,exits,projection,nationality,ROW,Uncapped,73.66392454005872
2017,exits,full,nationality,ROW,Uncapped,68.64786618465511
2017,exits,historical,category,EB-1,Uncapped,0.9882918392123601
2017,exits,projection,category,EB-1,Uncapped,1.5419215159149993
2017,exits,full,category,EB-1,Uncapped,1.4404729706564676
2017,exits,historical,category,EB-2,Uncapped,28.65173210929834
2017,exits,projection,category,EB-2,Uncapped,26.333930015605777
2017,exits,full,category,EB-2,Uncapped,26.75865011370952
2017,exits,historical,category,EB-3,Uncapped,35.39099269903042
2017,exits,projection,category,EB-3,Uncapped,23.358198722247977
2017,exits,full,category,EB-3,Uncapped,25.563119259764353
2017,exits,historical,category,EB-4,Uncapped,34.16113688902194
2017,exits,projection,category,EB-4,Uncapped,48.4508492694762
2017,exits,full,category,EB-4,Uncapped,45.83236511993783
2017,exits,historical,category,EB-5,Uncapped,0.8078464634369439
2017,exits,projection,category,EB-5,Uncapped,0.31510047675504343
2017,exits,full,category,EB-5,Uncapped,0.4053925359318276
2017,ageouts,historical,overall,All,Capped,100.0
2017,ageouts,projection,overall,All,Capped,100.0
2017,ageouts,full,overall,All,Capped,100.0
2017,ageouts,historical,nationality,India,Capped,61.06963014412224
2017,ageouts,projection,nationality,India,Capped,72.64581388460861
2017,ageouts,full,nationality,India,Capped,71.72551360939802
2017,ageouts,historical,nationality,China,Capped,8.886091335301268
2017,ageouts,projection,nationality,China,Capped,6.977921245318247
2017,ageouts,full,nationality,China,Capped,7.129619723705235
2017,ageouts,historical,nationality,ROW,Capped,30.04427852057649
2017,ageouts,projection,nationality,ROW,Capped,20.376264870073147
2017,ageouts,full,nationality,ROW,Capped,21.14486666689674
2017,ageouts,historical,category,EB-1,Capped,0.0
2017,ageouts,projection,category,EB-1,Capped,0.9567835277268518
2017,ageouts,full,category,EB-1,Capped,0.8807197606319648
2017,ageouts,historical,category,EB-2,Capped,26.918735891647856
2017,ageouts,projection,category,EB-2,Capped,56.26239563298804
2017,ageouts,full,category,EB-2,Capped,53.92959073449681
2017,ageouts,historical,category,EB-3,Capped,41.30057301614864
2017,ageouts,projection,category,EB-3,Capped,23.78836788176675
2017,ageouts,full,category,EB-3,Capped,25.18057861079572
2017,ageouts,historical,category,EB-4,Capped,30.808300052092378
2017,ageouts,projection,category,EB-4,Capped,18.559425929883364
2017,ageouts,full,category,EB-4,Capped,19.533204722480097
2017,ageouts,historical,category,EB-5,Capped,0.9723910401111304
2017,ageouts,projection,category,EB-5,Capped,0.43302702763499756
2017,ageouts,full,category,EB-5,Capped,0.47590617159540727
2017,exits,historical,overall,All,Capped,100.0
2017,exits,projection,overall,All,Capped,100.0
2017,exits,full,overall,All,Capped,100.0
2017,exits,historical,nationality,India,Capped,40.0763358778626
2017,exits,projection,nationality,India,Capped,30.627105759317484
2017,exits,full,nationality,India,Capped,32.33122058352685
2017,exits,historical,nationality,China,Capped,13.633604417169751
2017,exits,projection,nationality,China,Capped,9.581176307000154
2017,exits,full,nationality,China,Capped,10.312008631956385
2017,exits,historical,nationality,ROW,Capped,46.29005970496765
2017,exits,projection,nationality,ROW,Capped,59.791717933682364
2017,exits,full,nationality,ROW,Capped,57.35677078451677
2017,exits,historical,category,EB-1,Capped,0.9882918392123601
2017,exits,projection,category,EB-1,Capped,1.4441060694352836
2017,exits,full,category,EB-1,Capped,1.3619025695666551
2017,exits,historical,category,EB-2,Capped,28.65173210929834
2017,exits,projection,category,EB-2,Capped,28.277345940521418
2017,exits,full,category,EB-2,Capped,28.34486435336434
2017,exits,historical,category,EB-3,Capped,35.39099269903042
2017,exits,projection,category,EB-3,Capped,22.403037873707955
2017,exits,full,category,EB-3,Capped,24.745341540390314
2017,exits,historical,category,EB-4,Capped,34.16113688902194
2017,exits,projection,category,EB-4,Capped,47.5243177179721
2017,exits,full,category,EB-4,Capped,45.11434417901562
2017,exits,historical,category,EB-5,Capped,0.8078464634369439
2017,exits,projection,category,EB-5,Capped,0.3511923983632367
2017,exits,full,category,EB-5,Capped,0.4335473576630733
2018,ageouts,historical,overall,All,Uncapped,100.0
2018,ageouts,projection,overall,All,Uncapped,100.0
2018,ageouts,full,overall,All,Uncapped,100.0
2018,ageouts,historical,nationality,India,Uncapped,61.18617976567177
2018,ageouts,projection,nationality,India,Uncapped,37.06438008995382
2018,ageouts,full,nationality,India,Uncapped,39.593533114542424
2018,ageouts,historical,nationality,China,Uncapped,8.58205764132387
2018,ageouts,projection,nationality,China,Uncapped,7.305492391990303
2018,ageouts,full,nationality,China,Uncapped,7.43933932318287
2018,ageouts,historical,nationality,ROW,Uncapped,30.231762593004362
2018,ageouts,projection,nationality,ROW,Uncapped,55.63012751805588
2018,ageouts,full,nationality,ROW,Uncapped,52.967127562274705
2018,ageouts,historical,category,EB-1,Uncapped,0.01282818780466946
2018,ageouts,projection,category,EB-1,Uncapped,0.36061665447915936
2018,ageouts,full,category,EB-1,Uncapped,0.3241512885349976
2018,ageouts,historical,category,EB-2,Uncapped,27.04609595484478
2018,ageouts,projection,category,EB-2,Uncapped,54.35795209808773
2018,ageouts,full,category,EB-2,Uncapped,51.4943239898854
2018,ageouts,historical,category,EB-3,Uncapped,40.92191909689558
2018,ageouts,projection,category,EB-3,Uncapped,20.19954121547847
2018,ageouts,full,category,EB-3,Uncapped,22.372267355320027
2018,ageouts,historical,category,EB-4,Uncapped,31.07414692551099
2018,ageouts,projection,category,EB-4,Uncapped,24.793396708371315
2018,ageouts,full,category,EB-4,Uncapped,25.45192876741809
2018,ageouts,historical,category,EB-5,Uncapped,0.9450098349439836
2018,ageouts,projection,category,EB-5,Uncapped,0.28849332358332747
2018,ageouts,full,category,EB-5,Uncapped,0.3573285988414842
2018,exits,historical,overall,All,Uncapped,100.0
2018,exits,projection,overall,All,Uncapped,100.0
2018,exits,full,overall,All,Uncapped,100.0
2018,exits,historical,nationality,India,Uncapped,40.312976620771785
2018,exits,projection,nationality,India,Uncapped,17.457907849883554
2018,exits,full,nationality,India,Uncapped,21.633897404417894
2018,exits,historical,nationality,China,Uncapped,13.452562522198775
2018,exits,projection,nationality,China,Uncapped,8.908037655226918
2018,exits,full,nationality,China,Uncapped,9.738395619363489
2018,exits,historical,nationality,ROW,Uncapped,46.23446085702944
2018,exits,projection,nationality,ROW,Uncapped,73.63405449488953
2018,exits,full,nationality,ROW,Uncapped,68.62770697621862
2018,exits,historical,category,EB-1,Uncapped,0.989490838434699
2018,exits,projection,category,EB-1,Uncapped,1.5419697715631477
2018,exits,full,category,EB-1,Uncapped,1.4410229629154565
2018,exits,historical,category,EB-2,Uncapped,28.648434072247873
2018,exits,projection,category,EB-2,Uncapped,26.348663037659897
