year,dimension,group,scenario,n,mean,sd_across_runs,mcse_mean,mean_ci95_low,mean_ci95_high,p025,p975
2022,overall,All,Capped,50,2908.92,55.18201422454196,7.803915291541228,2893.2374450774646,2924.6025549225355,2796.175,3012.175
2023,overall,All,Capped,50,3779.18,59.15862108754388,8.366292427329553,3762.3673059114567,3795.992694088543,3669.825,3881.0
2024,overall,All,Capped,50,4780.06,57.56288841301294,8.140621748305199,4763.700808119771,4796.41919188023,4671.45,4881.525
2025,overall,All,Capped,50,6108.12,93.42325017611722,13.212042744003961,6081.569406069756,6134.670593930244,5941.9,6276.025
2026,overall,All,Capped,50,6989.4,91.23394463170615,12.902428184695486,6963.471599821197,7015.328400178802,6812.55,7139.075
2027,overall,All,Capped,50,8467.78,93.70149956328427,13.251393149709326,8441.15032846888,8494.40967153112,8258.2,8641.975
2028,overall,All,Capped,50,9806.14,100.17189511748579,14.166445264376362,9777.671462398563,9834.608537601436,9653.025,10033.45
2029,overall,All,Capped,50,11179.14,102.13216927099903,14.443669893763149,11150.114358648223,11208.165641351776,10989.675,11398.425
2030,overall,All,Capped,50,12935.3,111.72985824966304,15.80098808586969,12903.546725620461,12967.053274379537,12698.725,13122.425
2031,overall,All,Capped,50,13807.5,129.74012486505475,18.348024416813924,13770.628264481727,13844.371735518273,13613.45,14043.2
2032,overall,All,Capped,50,15491.7,151.50513563060818,21.42606175779813,15448.642716862329,15534.757283137673,15174.925,15743.8
2033,overall,All,Capped,50,17405.84,121.15016150485752,17.133220148386034,17371.40950505752,17440.27049494248,17238.8,17587.975
2034,overall,All,Capped,50,19465.34,144.91807819507923,20.494511161652575,19424.154737872475,19506.525262127525,19246.25,19738.75
2035,overall,All,Capped,50,21598.6,135.63907690512153,19.182262214699012,21560.05180086122,21637.148199138777,21326.025,21864.225
2036,overall,All,Capped,50,23185.56,150.85743506465207,21.334463065324947,23142.686791326476,23228.433208673527,22852.95,23400.525
2037,overall,All,Capped,50,24338.0,170.32274285806307,24.0872732930458,24289.59481206033,24386.40518793967,24040.775,24626.525
2038,overall,All,Capped,50,24501.68,166.9282431685751,23.607218543211285,24454.239518198065,24549.120481801936,24152.75,24818.0
2039,overall,All,Capped,50,25358.12,129.6232594396357,18.33149714985391,25321.28147726815,25394.95852273185,25102.95,25586.875
2040,overall,All,Capped,50,26046.08,163.83812817808302,23.170210290326654,25999.517719161486,26092.642280838518,25753.95,26334.55
2009,nationality,India,Capped,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,nationality,India,Capped,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,nationality,India,Capped,50,1.78,1.568698927943349,0.22184752991776185,1.3341806974589778,2.2258193025410224,0.0,5.0
2012,nationality,India,Capped,50,39.92,5.94477990873214,0.8407188372252082,38.230512243324135,41.60948775667587,30.225,50.775
2013,nationality,India,Capped,50,147.86,14.204066678387624,2.008758373742754,143.82324891475056,151.89675108524946,131.0,178.775
