category,nationality,MARST,sample_principals,sample_parents,sample_children,weighted_principals,weighted_children_parent_weights,weighted_parent_pct,children_per_100_principals,kish_effective_principals,kish_effective_parents
Unique proxy union (not EB mix),All,2,1391,114,145,180370.0,18642.0,8.11942118977657,10.33542163330931,910.5721982820751,78.70856008152843
Unique proxy union (not EB mix),All,3,176,30,44,22950.0,5279.0,15.681917211328976,23.00217864923747,104.7304659817495,18.049690713317233
Unique proxy union (not EB mix),All,4,546,70,95,68493.0,12665.0,13.351729373804622,18.490940680069496,350.23176117572024,45.96512947629634
Unique proxy union (not EB mix),All,5,32,8,19,3161.0,1206.0,15.153432458082886,38.152483391331856,20.272810642903952,7.305874860690973
Unique proxy union (not EB mix),All,6,5244,41,52,671433.0,6654.0,0.8374625614171481,0.9910147401155439,3297.251642413524,21.09159041469908
Unique proxy union (not EB mix),India,1,7309,3321,4340,899763.0,537642.0,45.80850735138031,59.75373515025623,4848.411511166286,2188.0891188012147
Unique proxy union (not EB mix),India,2,508,22,25,72846.0,4081.0,5.087444746451418,5.602229360568871,334.41371604621776,13.827968378109533
Unique proxy union (not EB mix),India,3,34,5,6,4228.0,755.0,16.674550614947965,17.857142857142858,24.211767829038436,2.8504206596356005
Unique proxy union (not EB mix),India,4,83,8,8,9636.0,966.0,10.024906600249066,10.024906600249066,52.29759431900619,5.225247219826862
Unique proxy union (not EB mix),India,5,7,1,2,1005.0,98.0,4.875621890547263,9.751243781094526,4.0687931291467425,1.0
Unique proxy union (not EB mix),India,6,1421,2,2,201109.0,224.0,0.11138238467696622,0.11138238467696622,900.7284780720298,1.9190698385986384
Unique proxy union (not EB mix),China,1,925,331,410,93707.0,38448.0,33.049825519971826,41.030019102094826,609.0941707529008,256.89549237408346
