category,nationality,definition,marital_group,sample_principals,sample_parents,sample_children,weighted_principals,weighted_children_parent_weights,weighted_parent_pct,children_per_100_principals,kish_effective_principals,kish_effective_parents
Other_EB4,China,own_unmarried,All,16,8,14,1387.0,1177.0,43.691420331651045,84.85940879596251,9.79999796233374,7.198447545867963
Other_EB4,China,own_unmarried,Married,13,8,14,1199.0,1177.0,50.54211843202669,98.1651376146789,7.792170976676622,7.198447545867963
Other_EB4,China,own_unmarried,Unmarried,3,0,0,188.0,0.0,0.0,0.0,2.9927180355630822,0.0
Other_EB4,ROW,original,All,329,138,257,33517.0,27039.0,42.20544798162127,80.67249455500193,219.05989163120447,90.63168202034475
Other_EB4,ROW,original,Married,242,137,255,25057.0,26893.0,56.16394620265794,107.32729377020394,160.89259088135677,89.9157086748409
Other_EB4,ROW,original,Unmarried,87,1,2,8460.0,146.0,0.8628841607565012,1.7257683215130024,58.38214037503385,1.0
Other_EB4,ROW,own_unmarried,All,329,138,257,33517.0,27039.0,42.20544798162127,80.67249455500193,219.05989163120447,90.63168202034475
Other_EB4,ROW,own_unmarried,Married,242,137,255,25057.0,26893.0,56.16394620265794,107.32729377020394,160.89259088135677,89.9157086748409
Other_EB4,ROW,own_unmarried,Unmarried,87,1,2,8460.0,146.0,0.8628841607565012,1.7257683215130024,58.38214037503385,1.0
Unique proxy union (not EB mix),All,original,All,23935,8056,12362,2825766.0,1374768.0,32.11277933133883,48.651162198143794,15472.720558426896,5267.8438543858665
Unique proxy union (not EB mix),All,original,Married,17937,7907,12152,2059729.0,1348964.0,43.1409180528118,65.49230505566508,11770.844127949518,5186.261775624624
Unique proxy union (not EB mix),All,original,Unmarried,5998,149,210,766037.0,25804.0,2.4601944814676053,3.368505698810893,3770.2358060549104,87.31821172222337
Unique proxy union (not EB mix),All,own_unmarried,All,23935,8042,12329,2825766.0,1371058.0,32.06567705889306,48.519870364354304,15472.720558426896,5257.62001970915
Unique proxy union (not EB mix),All,own_unmarried,Married,17937,7895,12121,2059729.0,1345452.0,43.08591081642294,65.32179718788248,11770.844127949518,5177.642743229753
Unique proxy union (not EB mix),All,own_unmarried,Unmarried,5998,147,208,766037.0,25606.0,2.4343471659985094,3.3426583833417967,3770.2358060549104,85.91425273543736
Unique proxy union (not EB mix),India,original,All,9362,3359,4383,1188587.0,543766.0,35.15249619926854,45.74894391407613,6128.764168152067,2209.368430218185
Unique proxy union (not EB mix),India,original,Married,7817,3343,4365,972609.0,541723.0,42.75860083548476,55.697921775348576,5173.6007568728655,2199.476655007422
Unique proxy union (not EB mix),India,original,Unmarried,1545,16,18,215978.0,2043.0,0.9000916760040375,0.9459296780227616,978.6448991022099,9.90594020476957
Unique proxy union (not EB mix),India,own_unmarried,All,9362,3356,4376,1188587.0,543088.0,35.12195573399339,45.69190139215724,6128.764168152067,2206.8626595382784
Unique proxy union (not EB mix),India,own_unmarried,Married,7817,3340,4358,972609.0,541045.0,42.721278540502915,55.62821236488661,5173.6007568728655,2196.970678144824
Unique proxy union (not EB mix),India,own_unmarried,Unmarried,1545,16,18,215978.0,2043.0,0.9000916760040375,0.9459296780227616,978.6448991022099,9.90594020476957
Unique proxy union (not EB mix),China,original,All,1767,369,454,194774.0,43009.0,17.96492344974175,22.08148931582244,1151.4409959846828,286.8806267196798
Unique proxy union (not EB mix),China,original,Married,1064,356,438,109263.0,41446.0,30.818300797159146,37.932328418586344,706.5720504261632,275.55965245396305
Unique proxy union (not EB mix),China,original,Unmarried,703,13,16,85511.0,1563.0,1.5413221690776626,1.8278350153781384,455.5531298935494,11.347818134308858
Unique proxy union (not EB mix),China,own_unmarried,All,1767,363,446,194774.0,42106.0,17.623502110137903,21.617875075728794,1151.4409959846828,281.8184000363552
Unique proxy union (not EB mix),China,own_unmarried,Married,1064,352,432,109263.0,40741.0,30.390891701673944,37.28709627229712,706.5720504261632,272.4023578065284
Unique proxy union (not EB mix),China,own_unmarried,Unmarried,703,11,14,85511.0,1365.0,1.3097730116593187,1.5962858579597947,455.5531298935494,9.421661409043113
Unique proxy union (not EB mix),ROW,original,All,12806,4328,7525,1442405.0,787993.0,31.518401558508184,54.63049559589713,8236.156408105011,2830.066702516375
Unique proxy union (not EB mix),ROW,original,Married,9056,4208,7349,977857.0,765795.0,44.89807814435035,78.31359800052564,5950.926637615961,2773.5429805378553
Unique proxy union (not EB mix),ROW,original,Unmarried,3750,120,176,464548.0,22198.0,3.354658722026572,4.778408259211104,2347.5415765408975,68.74125198770214
Unique proxy union (not EB mix),ROW,own_unmarried,All,12806,4323,7507,1442405.0,785864.0,31.497394975752304,54.48289488735826,8236.156408105011,2827.0917262763364
Unique proxy union (not EB mix),ROW,own_unmarried,Married,9056,4203,7331,977857.0,763666.0,44.867092018567135,78.09587700451088,5950.926637615961,2770.535919948037
Unique proxy union (not EB mix),ROW,own_unmarried,Unmarried,3750,120,176,464548.0,22198.0,3.354658722026572,4.778408259211104,2347.5415765408975,68.74125198770214
